"last","first","name","datein","dateout",mess,"cause","place",age,"heightft","heightin","complexion","eyes","hair","occupation","home",wounded,pow
"Ney","Levi","Levi Ney","9/2/1861"," 07/21/1864 ",4,"KIA/Died Wounds","Peach Tree Creek",21,"5'6","66","dark","gray ","brown","miller","West Hanover",1,1
"Ney","Daniel","Daniel Ney","9/2/1861"," 07/16/1865 ",4,"Mustered Out","Alexandria VA",20,"5'8","68","dark","hazel","brown","farmer","West Hanover",NULL,NULL
"King","Edward","Edward King","9/2/1861"," 07/16/1865 ",4,"Mustered Out","Alexandria VA",20,"5'7","67","dark","gray ","brown","laborer","West Hanover",1,1
"Swayer","William","William Swayer","9/2/1861"," 06/27/1862 ",4,"Deserted","NA",35,"5'8","68","medium","blue","brown","laborer","West Hanover",NULL,NULL
"Geiger","Peter","Peter Geiger","9/2/1861"," 07/16/1865 ",4,"Mustered Out","Alexandria VA",20,"5'5","65","dark","hazel","black","carpenter","West Hanover",NULL,NULL
"James","Alexander","Alexander James","9/2/1861"," 07/16/1865 ",4,"Mustered Out","Alexandria VA",19,"5'2","62","medium","gray","brown","schoolboy","Linglestown",NULL,NULL
"McFarland","Charles","Charles McFarland","9/2/1861"," 07/16/1865 ",5,"Mustered Out","Alexandria VA",24,"6'1","73","medium","blue","sandy","schoolmaster","Halifax",1,NULL
"O'Donnell","James","James O'Donnell","9/2/1861"," 08/22/1862 ",5,"Discharged","NA",39,"5'10","70","light","blue","brown","bricklayer","Harrisburg",NULL,NULL
"Geiger","Frederick","Frederick Geiger","9/2/1861"," 07/16/1865 ",5,"Mustered Out","Alexandria VA",18,"5'7","67","dark","hazel","black","farmer","Birdsboro",1,NULL
"Orth","Alexander","Alexander Orth","9/2/1861"," 11/04/1864 ",5,"Mustered Out","NA",23,"5'3","63","dark","hazel","black","painter","Harrisburg",1,NULL
"Brumbaugh","James","James Brumbaugh","9/2/1861"," 07/23/1862 ",5,"Discharged","NA",23,"5'5","65","light","blue","light","hustler","Harrisburg",NULL,NULL
"Geigir","Jacob","Jacob Geigir","9/2/1861"," 05/27/1865 ",5,"Wounded","NA",22,"5'10","70","light","gray ","sandy","plasterer","Birdsboro",1,NULL
"Reimert","William","William Reimert","9/2/1861"," 07/16/1865 ",5,"Mustered Out","Alexandria VA",20,"5'6","66","light","gray","light","plasterer","West Hanover",NULL,NULL
"Houser","John","John Houser","9/2/1861"," 07/16/1865 ",5,"Mustered Out","Alexandria VA",20,"5'9","69","dark","blue","brown","laborer","West Hanover",1,1
"Weidensaul","Henry","Henry Weidensaul","9/2/1861"," 07/16/1865 ",5,"Mustered Out","Alexandria VA",19,"5'3","63","light","gray","light","schoolboy","Birdsboro",1,1
"Cassel","John","John Cassel","9/2/1861"," 10/23/1862 ",5,"Transferred","NA",20,"5'4","64","light","gray","sandy","miller","East Hanover",1,NULL
"Seyfert","William","William Seyfert","9/2/1861"," 07/16/1865 ",5,"Mustered Out","Alexandria VA",19,"5'4","64","dark","hazel","black","shoemaker","Birdsboro",1,1
"Frantz","Henry","Henry Frantz","9/2/1861"," 07/16/1865 ",5,"Mustered Out","Alexandria VA",20,"5'9","69","light","hazel","brown","laborer","West Hanover",1,1
"Wamsher","Samuel","Samuel Wamsher","9/2/1861"," 06/19/1864 ",5,"KIA/Died Wounds","NA",21,"5'6","66","medium","gray","brown","farmer","Birdsboro",1,NULL
"Noonan","John","John Noonan","9/2/1861"," 12/24/1862 ",5,"Discharged","NA",38,"5'9","69","light","hazel","brown","laborer","Harrisburg",NULL,NULL
"Weaver","George","George Weaver","9/2/1861"," 07/16/1865 ",5,"Mustered Out","Alexandria VA",24,"5'7","67","dark","hazel","black","blacksmith","West Hanover",NULL,NULL
"Geiger","Samuel","Samuel Geiger","9/2/1861"," 07/31/1864 ",5,"Died","NA",31,"5'6","66","medium","hazel","sandy","farmer","West Hanover",NULL,NULL
"Bedilion","William","William Bedilion","9/2/1861","07/16/1862",6,"Mustered Out","Alexandria VA",43,"5'9","69","light","hazel","red","teamster","East Hanover",NULL,NULL
"Chubb","Philip","Philip Chubb","9/2/1861"," 07/16/1865 ",6,"Mustered Out","Alexandria VA",34,"5'4","64","dark","hazel","brown","clerk","Halifax",1,1
"Deafenbaugh","Samuel","Samuel Deafenbaugh","9/2/1861"," 07/16/1865 ",6,"Mustered Out","Alexandria VA",29,"5'6","66","dark","gray","brown","painter","Harrisburg",NULL,NULL
"Donnelly","William","William Donnelly","9/2/1861","09/18/1864 ",6,"Mustered Out","NA",23,"5'7","67","dark","hazel","black","teamster","East Hanover",NULL,NULL
"Ebersole","John","John Ebersole","9/2/1861"," 07/20/1864 ",6,"KIA/Died Wounds","Peach Tree Creek GA",20,"5'7","67","dark","gray","brown","farmer","West Fairview",1,1
"Flickner","Peter","Peter Flickner","9/2/1861"," 07/16/1865 ",6,"Mustered Out","Alexandria VA",32,"5'8","68","medium","blue","light","tailor","Millersburg",1,1
"Hamilton","William","William Hamilton","9/2/1861"," 07/16/1865 ",6,"Mustered Out","Alexandria VA",33,"5'5","65","dark","black","brown","blacksmith","Harrisburg",NULL,NULL
"Kocher","John","John Kocher","9/2/1861"," 12/12/1862 ",6,"Discharged","NA",35,"5'9","69","dark","blue","brown","shoemaker","West Hanover",NULL,NULL
"Leebrick","George","George Leebrick","9/2/1861"," 12/02/1862 ",6,"Discharged","NA",20,"5'6","66","dark","gray ","brown","schoolboy","Halifax",NULL,NULL
"Mountz","John","John Mountz","9/2/1861"," 10/24/1862 ",6,"Discharged","NA",52,"5'11","71","dark","brown","gray","laborer","West Hanover",1,NULL
"Pottiger","Samuel","Samuel Pottiger","9/2/1861"," 11/10/1862 ",2,"Discharged","NA",20,"5'6","66","light","brown","black","wagon maker","Halifax",1,NULL
"Price","John","John Price","9/2/1861"," 12/18/1863 ",6,"Discharged","NA",46,"5'5","65","light","blue","brown","gardener","Harrisburg",NULL,NULL
"Reigel","Mitchel","Mitchel Reigel","9/2/1861"," 07/16/1865 ",6,"Mustered Out","Alexandria VA",21,"5'6","66","light","blue","brown","brick maker","West Hanover",NULL,NULL
"Shelly","John","John Shelly","9/2/1861"," 06/10/1865 ",6,"Wounded","Alexandria VA",21,"5'7","67","medium","blue","light","farmer","New Buffalo",1,1
"Brooks","George","George Brooks","9/2/1861","9/17/1862",7,"KIA/Died Wounds","Antietam",25,"5'6","66","light","blue","sandy","printer","Harrisburg",NULL,NULL
"Witman","Edward","Edward Witman","9/2/1861","9/26/1864",7,"Transferred","NA",24,"5'8","68","medium","gray","black","druggist","Harrisburg",1,NULL
"Geiger","John","John Geiger","9/2/1861","7/6/1863",7,"Discharged","NA",26,"5'8","68","medium","gray","light","farmer","Berks County",NULL,1
"Simmons","Oliver","Oliver Simmons","9/2/1861","06/05/1863",7,"Wounded","NA",20,"NA","NA","NA","NA","NA","NA","NA",1,NULL
